Famous	Unfamiliar	Scrambled
0.002540224	0.007886355	-0.005813601
0.003130109	0.003745906	-0.005410359
0.005781299	0.0001266831	-0.005130803
0.004584337	0.0002905455	-0.004974409
-0.001066842	0.006677069	-0.004903434
-0.005593646	0.01168109	-0.004882468
-0.006452364	0.01302499	-0.004887097
0.0002590538	0.007504039	-0.004902097
0.006720797	0.00155522	-0.004920669
0.009700801	-0.001959462	-0.00494069
0.01147668	-0.00347029	-0.00496159
0.007890943	-0.003806075	-0.001946834
0.0005986337	-0.003555283	0.005106338
-0.004768123	-0.003119623	0.01041328
-0.007297647	-0.002730584	0.01235787
-0.008000708	-0.002468918	0.01333869
-0.007775731	-0.002325549	0.01247696
-0.007193539	-0.001206136	0.01073193
-0.006595272	0.006014464	0.003820543
-0.006131298	0.00793096	-0.002669535
-0.00582312	0.00402237	-0.006154755
-0.005632011	0.0002051439	-0.007382467
-0.005511112	-0.001976824	-0.007424952
-0.00542624	-0.002972214	-0.006966176
-0.005357716	-0.003256094	-0.00641004
-0.005296156	-0.003155313	-0.005961237
-0.005238467	-0.00291896	-0.00567519
-0.005182806	-0.002700158	-0.005525515
-0.005128095	-0.00255489	-0.005459658
-0.005073433	-0.002479434	-0.001838465
-0.004644931	-0.00245138	0.004670218
0.001872357	-0.002449673	0.003438693
0.005574849	-0.002460615	0.001592195
0.002323575	-0.002477044	0.005626785
-0.001698927	-0.002495731	0.009190755
-0.004123956	-0.001567002	0.009321548
-0.005245988	0.005567346	0.003282748
-0.005577617	0.01148252	-0.002599481
-0.005465974	0.01451099	-0.005885946
-0.005176224	0.01597601	-0.007195842
-0.004883165	0.01531191	-0.00739883
-0.004659753	0.01473302	-0.006981951
-0.004510064	0.008495733	-0.00117388
-0.002708521	0.001266426	0.004293252
0.004660223	-0.00305778	0.002031964
0.005576327	-0.00478215	0.002127674
0.001494036	-0.005057548	0.006115166
-0.002069214	-0.004675617	0.009907602
-0.00401211	-0.004111831	0.01096318
-0.004146223	-0.0036237	0.01134488
0.00848202	-0.003300269	0.005550491
0.01618011	-0.003128697	0.0005591521
0.01005886	-0.00306065	0.003548162
0.007489532	-0.003051172	0.002247133
0.008813686	-0.003071073	-0.002262522
0.01122939	-0.003105113	-0.005418075
0.008205738	-0.003145206	-0.003154406
0.001720935	-0.003188569	0.003318685
-0.002912639	-0.003234662	0.008467901
-0.002873413	-0.003282385	0.008588199
0.003763435	-0.003331758	0.002715489
0.004223518	-0.00338275	-0.002743872
0.0005150566	-0.003434617	-0.005757162
-0.002439019	-0.003487809	-0.00694371
-0.003912545	-0.003543224	-0.007086382
-0.004450279	-0.003600888	-0.006730205
-0.004455391	-0.00366053	-0.006243246
-0.004195811	-0.003721938	-0.005823884
-0.00387377	-0.003784982	-0.00553187
-0.003601783	-0.00384958	-0.005349377
-0.003411738	-0.003915685	-0.005117092
-0.003290626	-0.003983262	0.0004808933
-0.003212548	-0.004052284	0.006979014
-0.00315733	-0.004092515	0.011673
-0.003112198	0.0004200848	0.00856983
-0.002224915	0.006126496	0.001813785
0.004898688	0.00405216	-0.003100749
0.007290917	-0.0003290928	-0.001737067
0.003555701	-0.003336991	0.004583306
-0.0002803811	-0.004886175	0.01028343
-0.00248234	-0.005523926	0.01201926
-0.003467632	-0.005633196	0.01275927
-0.003721685	-0.005498967	0.01283777
-0.003575412	-0.003621851	0.01037924
-0.00328269	0.003814062	0.003278564
-0.003003153	0.00910424	-0.00259739
-0.00279666	0.01184648	-0.005482909
-0.00266083	0.01348331	-0.006323664
-0.002571916	0.01228436	-0.006126068
-0.002508807	0.0115624	-0.00551369
-0.002458337	0.0111063	-0.004851228
-0.0005633395	0.008558359	-0.00431394
0.006781844	0.001522386	-0.003937681
0.01186762	-0.004299585	-0.003688558
0.01368522	-0.006542203	-0.003517447
0.008306501	-0.0005531142	-0.003387247
0.002080292	0.005152632	-0.003274531
-0.001701065	0.008922715	-0.00295379
-0.003353109	0.00496486	0.008013928
-0.00373784	-0.00128141	0.01806377
